Identifier	Character	Dialogue	Filename	Line Number
c3_0dc52d0f		【距离诅咒发作还剩两天】	game/scripts/chapter3.rpy	7
c3_d0cee6e3		我要死掉了…绝对要死掉了。	game/scripts/chapter3.rpy	12
c3_7c7bf07e		身上传来的剧烈的疼痛感，仿佛整个骨头都要散架了一样。	game/scripts/chapter3.rpy	13
c3_779dfa7f	w	唔猫…..	game/scripts/chapter3.rpy	14
c3_7b727471		欸？我还能听到自己的声音？	game/scripts/chapter3.rpy	15
c3_515ab9ae		挣扎着睁开了眼睛。	game/scripts/chapter3.rpy	22
c3_2fd90170	w	…….	game/scripts/chapter3.rpy	23
c3_a7fdeff5		稍微有点熟悉的场景出现在我的面前。	game/scripts/chapter3.rpy	24
c3_63596838		跟林琴的房间有点相像，但是又有点不一样的地方。	game/scripts/chapter3.rpy	25
c3_ed523ba5		应该是病房。	game/scripts/chapter3.rpy	26
c3_6867144c		我才床上坐了起来。	game/scripts/chapter3.rpy	27
c3_3bbd013a		感觉身体有点紧绷，还有点微疼。	game/scripts/chapter3.rpy	28
c3_ab825552		我这是怎么了。	game/scripts/chapter3.rpy	29
c3_035d5c0d		最后还记得的事情就是疼得要死….	game/scripts/chapter3.rpy	30
c3_c846a492		啊，这还真是不好的回忆。	game/scripts/chapter3.rpy	31
c3_310089ff		病房的外边传来了很吵闹但是却很熟悉的声音。	game/scripts/chapter3.rpy	32
c3_c84359ae	w	……	game/scripts/chapter3.rpy	33
c3_f4103cac		干什么这么吵啊？	game/scripts/chapter3.rpy	34
c3_1801537b	l	她到底怎么了，你说清楚点。	game/scripts/chapter3.rpy	36
c3_435c9708	男人的声音	小姐…这个女孩真的只是疲劳过度了而已。	game/scripts/chapter3.rpy	37
c3_13b4683f	男人的声音	为什么会出现这样的症状我们也不清楚。	game/scripts/chapter3.rpy	38
c3_f02eeb81	男人的声音	我们已经成立专家组专门研究这个症状了。	game/scripts/chapter3.rpy	39
c3_35035c72	男人的声音	夏教授也在这里，她可以证明我们说的说正确的。	game/scripts/chapter3.rpy	40
c3_98a9f805		林琴看一眼夏静，夏静则是点头。	game/scripts/chapter3.rpy	41
c3_b45f58e7	l	我没让你解释那么多，你就说有没有解决方案吧。	game/scripts/chapter3.rpy	43
c3_ec272df8	男人的声音	这个…专家们还在评估。	game/scripts/chapter3.rpy	44
c3_2b982efc	l	……	game/scripts/chapter3.rpy	46
c3_c5a9bb8d	l	唉，算了你走吧。	game/scripts/chapter3.rpy	51
c3_77f1fab7	男人的声音	好…好的。	game/scripts/chapter3.rpy	52
c3_2aa216f9		疑惑着我的听着门外的有些忐忑的脚步声，渐渐的走远了。	game/scripts/chapter3.rpy	53
c3_b636ca37	l	到底是怎么样？	game/scripts/chapter3.rpy	55
c3_defbfd70	x	什么怎么样？	game/scripts/chapter3.rpy	57
c3_fcea764d	l	当然是里面那家伙。	game/scripts/chapter3.rpy	59
c3_aaced483	x	我怎么知道，医生不是说了她只是疲劳过度了吗？	game/scripts/chapter3.rpy	61
c3_e2eb40b0	l	跟死了一样还能算疲劳过度？	game/scripts/chapter3.rpy	63
c3_a9c7eedb	x	但是她的体温是正常的，心跳也是正常的，所有的数据显示都是正常的。	game/scripts/chapter3.rpy	65
c3_88d7b971	x	除了相信这个答案还能有什么别的解释吗？	game/scripts/chapter3.rpy	67
c3_701b809f		夏静的平静的语气里头似乎带了一丝不易察觉的微妙腔调。	game/scripts/chapter3.rpy	68
c3_13016f12	l	那个什么鬼专家的评审会你不是也参加了么？	game/scripts/chapter3.rpy	70
c3_82916520	l	你就得出这么个结论？	game/scripts/chapter3.rpy	72
c3_8644d785	x	我已经尽力了。	game/scripts/chapter3.rpy	74
c3_518195cf	x	那个评议会开大半个晚上，还不如直接给她一剂镇静剂管用。	game/scripts/chapter3.rpy	76
c3_6ab6db82	l	…….	game/scripts/chapter3.rpy	78
c3_67d396d9	c	还没有尽力，还有办法的。	game/scripts/chapter3.rpy	80
c3_99538969		一直没有说话的女孩子突然发出了声音。	game/scripts/chapter3.rpy	81
c3_2b982efc_1	l	……	game/scripts/chapter3.rpy	83
c3_67e135ed	x	……	game/scripts/chapter3.rpy	85
c3_87048df8	x	倒不如说你手上的伤是怎么回事？	game/scripts/chapter3.rpy	87
c3_a3374dd5	c	欸？	game/scripts/chapter3.rpy	89
c3_6e297c55	c	没…没事。	game/scripts/chapter3.rpy	91
c3_0f0910dc	c	不小心弄伤的。	game/scripts/chapter3.rpy	93
c3_50736fee	c	医生说没有伤到骨头所以没关系的，不过可能以后会留疤。	game/scripts/chapter3.rpy	95
c3_12ded8e3	l	意外的很严重…..	game/scripts/chapter3.rpy	97
c3_db20581b	c	没问题的啦，只是小伤而已。	game/scripts/chapter3.rpy	99
c3_3e1bc12d	c	我比较担心艳仔现在的情况。	game/scripts/chapter3.rpy	101
c3_f55297b6	c	我觉得一定会有办法的……	game/scripts/chapter3.rpy	103
c3_32b512fc	x	那你说说办法是什么？	game/scripts/chapter3.rpy	105
c3_9b8c325c	x	这个地方已经是整个地区最厉害的医院了。	game/scripts/chapter3.rpy	107
c3_75626669	x	那几个最厉害的医生教授开会讨论一晚上病情。	game/scripts/chapter3.rpy	109
c3_7d2b1207	x	现在还在讨论，没有结果。	game/scripts/chapter3.rpy	111
c3_ed0c3e63	x	我觉得没有办法了。	game/scripts/chapter3.rpy	113
c3_8faa473d	x	只能等她自己恢复过来了。	game/scripts/chapter3.rpy	115
c3_c028d491	l	就那样也能恢复过来？	game/scripts/chapter3.rpy	117
c3_0c52c991		……..	game/scripts/chapter3.rpy	121
c3_2fd90170_1	w	…….	game/scripts/chapter3.rpy	122
c3_8ae5ef84		她们三个丫头在吵什么东西。	game/scripts/chapter3.rpy	123
c3_f0aa2b72		不对，我突然想起了一件事——那个丫头怎么样了？	game/scripts/chapter3.rpy	124
c3_b413ed4b		那个和我同甘共苦但是却不幸先走一步了的名叫做袁艳的丫头。	game/scripts/chapter3.rpy	125
c3_0d6960a3	w	我大概会怀念她的…..	game/scripts/chapter3.rpy	126
c3_6d6a5d57		当然….是开玩笑的。	game/scripts/chapter3.rpy	127
c3_6bed29ad		这家伙要真挂了我该怎么办啊？	game/scripts/chapter3.rpy	128
c3_e61c7a37		不过等一下…袁艳去哪里了？	game/scripts/chapter3.rpy	129
c3_dc44d57e		不会还在家里吧。	game/scripts/chapter3.rpy	130
c3_bdf91be5		我发动了力量感应了一下。	game/scripts/chapter3.rpy	131
c3_2fd90170_2	w	…….	game/scripts/chapter3.rpy	132
c3_269814c3		怎么好像就在附近？	game/scripts/chapter3.rpy	133
c3_938f8eba		我能感受到她的气息。	game/scripts/chapter3.rpy	134
c3_93d4658c		不会吧，袁艳难不成在外头跟那三个丫头努力磋商？	game/scripts/chapter3.rpy	135
c3_72801256		不愧是袁艳，真的敬业啊。	game/scripts/chapter3.rpy	136
c3_d057b5d4	w	怎么可能呢！！！！	game/scripts/chapter3.rpy	137
c3_adfe12ae		我自己吐槽起了自己。	game/scripts/chapter3.rpy	138
c3_961248d0		不由得低下了头。	game/scripts/chapter3.rpy	139
c3_238c7b5e		然后就看到了缠满绷带的自己——咦咦咦？	game/scripts/chapter3.rpy	140
c3_d1328779		这都是什么鬼东西啊！！！	game/scripts/chapter3.rpy	141
c3_3ee0fe43		绑得特别紧，几乎没办法动弹，动作太大还特别疼。	game/scripts/chapter3.rpy	142
c3_aa0532bc		这是哪门子的捆绑游戏啊。	game/scripts/chapter3.rpy	143
c3_bf3714d3		我咧开嘴撕咬着身上的绷带——这味道…	game/scripts/chapter3.rpy	144
c3_8369165b	w	唔噜噜…..	game/scripts/chapter3.rpy	145
c3_60b59917		然而…不断观察周围的我却愣住了。	game/scripts/chapter3.rpy	146
c3_948b93db		在我的旁边，另外的一张床上，有一个女孩坐在那里——她就坐在那里，面无表情，手里还端着一杯水。	game/scripts/chapter3.rpy	147
c3_7f67971b	w	……..	game/scripts/chapter3.rpy	148
c3_747290d1	w	袁艳？你….原来在的啊。	game/scripts/chapter3.rpy	149
c3_e8b94f9e	w	啊哈哈….	game/scripts/chapter3.rpy	150
c3_9e7f16ee		我怪不好意思的松开了自己的嘴，然后看着袁艳说道。	game/scripts/chapter3.rpy	151
c3_723b893f		没有回应。	game/scripts/chapter3.rpy	152
c3_1fd4994e		这家伙怎么了？	game/scripts/chapter3.rpy	153
c3_98a15876		我稍微朝着她那边爬了爬…仔细的观察起了袁艳。	game/scripts/chapter3.rpy	154
c3_b32b6766	w	不是吧…..	game/scripts/chapter3.rpy	169
c3_6a781b9b		….	game/scripts/chapter3.rpy	170
c3_9aeb4b79		这才第几天啊。	game/scripts/chapter3.rpy	171
c3_84a27de8		袁艳低着头，眼睛里没有任何身神采。	game/scripts/chapter3.rpy	172
c3_feab8bfe		身体的生命气息还存在，但是灵魂的气息已经消失了。	game/scripts/chapter3.rpy	173
c3_e0d966bd		我睁大了眼睛注视着袁艳。	game/scripts/chapter3.rpy	174
c3_5ac21139		想不到诅咒降临得这么快，真的是快出了我的想象。	game/scripts/chapter3.rpy	175
c3_8d281c52		我不由得抹了抹眼睛。	game/scripts/chapter3.rpy	176
c3_b44f6861		事已至此，我已经没有退路可以走了。	game/scripts/chapter3.rpy	177
c3_92877892	w	不是，应该是我们没有退路可以走了。	game/scripts/chapter3.rpy	188
c3_5133daaa	w	袁艳…想不到这种关键时候你居然倒了。	game/scripts/chapter3.rpy	189
c3_f2276fa8		我摇了摇头。	game/scripts/chapter3.rpy	190
c3_b9d3fe11	w	所以说最后还不是得靠我嘛。	game/scripts/chapter3.rpy	191
c3_d5e40c15		然后我跳下了床，先把袁艳叫醒吧，这种状态越久越不安全啊。	game/scripts/chapter3.rpy	192
c3_f2ff81f0	w	哎哟….	game/scripts/chapter3.rpy	193
c3_36a8dfe9		爬…爬不起来了…好痛…	game/scripts/chapter3.rpy	194
c3_12c3653b	l	里面有声音？	game/scripts/chapter3.rpy	200
c3_a2b409cb	x	嗯？	game/scripts/chapter3.rpy	202
c3_cfd79db7	c	嗯？	game/scripts/chapter3.rpy	204
c3_2fd90170_3	w	…….	game/scripts/chapter3.rpy	205
c3_db4a8038		我刚从床上掉到地上，门外的三个女孩就急冲冲的冲进了病房。	game/scripts/chapter3.rpy	210
c3_11c8bb0b		速度快得我无法想象。	game/scripts/chapter3.rpy	211
c3_7d3f5b8c		但是，在看到袁艳的瞬间三个人眼里一闪而过的失望色彩我看的清清楚楚。	game/scripts/chapter3.rpy	212
c3_785c3996		拜托…你们倒是先看看病猫啊！	game/scripts/chapter3.rpy	213
c3_c618715d		我才是受伤的那只好吗？床上那个根本就是没睡好加诅咒的暂时灵魂离体啊！	game/scripts/chapter3.rpy	214
c3_c9ee0cb7	c	啊…猫掉到地上了。	game/scripts/chapter3.rpy	216
c3_79cf756e		唯独只有程祎琳指着我说道。	game/scripts/chapter3.rpy	217
c3_2b694d54		我这个时候真想大声叫一声….	game/scripts/chapter3.rpy	218
c3_4fb9330a		程祎琳走过来把我抱了起来，轻轻的重新放回了床上。	game/scripts/chapter3.rpy	219
c3_1587e62e		她手上缠了好几圈跟我身上一样的纱布…她受伤了吗？	game/scripts/chapter3.rpy	220
c3_fb6dfd76		也就是说在那双纤细的双手上缠绕着的纱布下有着跟我身体一样的痛感吗——我坐在床上碰了碰被纱布缠起来的地方。	game/scripts/chapter3.rpy	221
c3_57c923c9	w	唔….	game/scripts/chapter3.rpy	222
c3_12a8f932		好痛….	game/scripts/chapter3.rpy	223
c3_e98410fe	c	诶呵呵….	game/scripts/chapter3.rpy	225
c3_6e3a8b9e		程祎琳笑嘻嘻的用双手撑着脑袋趴在床上看着我。	game/scripts/chapter3.rpy	226
c3_df723a37	l	唉….	game/scripts/chapter3.rpy	228
c3_dd823d49		林琴则是叹了一口气，像是在看没出息的孩子一样。	game/scripts/chapter3.rpy	229
c3_76ec1666	l	程祎琳啊，你别忘了这可是袁艳的猫。	game/scripts/chapter3.rpy	231
c3_0bdd1c4a	c	嗯，知道。	game/scripts/chapter3.rpy	233
c3_ae726332	x	我看你一点自觉都没有，记得别把猫吃了哦。	game/scripts/chapter3.rpy	235
c3_6ab6db82_1	l	…….	game/scripts/chapter3.rpy	237
c3_4c74ffa1		林琴无语的看了看夏静，那表情好像在说，‘你说的什么鬼啊，哪里会有人想要吃猫的啊。’	game/scripts/chapter3.rpy	238
c3_9440f396	c	嗯，不会的。	game/scripts/chapter3.rpy	240
c3_6ab6db82_2	l	…….	game/scripts/chapter3.rpy	242
c3_b160f4d6		林琴更无语的看了看程祎琳，那表情好像在说，‘还真打算吃啊喂！’	game/scripts/chapter3.rpy	243
c3_a05e2b93		最无语的是我。	game/scripts/chapter3.rpy	244
c3_35a0a0f2		你们在我面前啊，能不能不要这么明目张胆的讨论一些危险的事情啊。	game/scripts/chapter3.rpy	245
c3_0b31f350		好歹顾及一下我的感受啊。	game/scripts/chapter3.rpy	246
c3_0231dbbb	l	不过这丫头还是一点反应都没有呢。	game/scripts/chapter3.rpy	248
c3_b4ebbf99		林琴走了过去，把袁艳手里的一杯水抽了出来放在桌上。	game/scripts/chapter3.rpy	249
c3_ac0e84c9	x	累得魂都不在了吧。	game/scripts/chapter3.rpy	251
c3_d27ec975		夏静也靠近了袁艳的身边，把她慢慢的往床上推倒。	game/scripts/chapter3.rpy	252
c3_fc17778e		就像是在搬运人偶一样，帮她鞋子脱好了放到了床上。	game/scripts/chapter3.rpy	253
c3_c84359ae_1	w	……	game/scripts/chapter3.rpy	254
c3_1810403e		我在后面看着，她们是闹的哪一出啊。	game/scripts/chapter3.rpy	255
c3_649e52e0		拜托你们快点离开这里吧，我要把袁艳那丫头给叫醒啊。	game/scripts/chapter3.rpy	256
c3_35db8de1		但是事实上…这三个家伙就像赖在这里了一样根本就不打算离开。	game/scripts/chapter3.rpy	257
c3_579b8698		既然这样，那我也无能为力了。	game/scripts/chapter3.rpy	258
c3_ff708c2e		袁艳加油….	game/scripts/chapter3.rpy	259
c3_d96671e9		只能有些同情的看了一眼面无表情的袁艳，然后在程祎琳的注视下蜷成一团打了一个哈欠。	game/scripts/chapter3.rpy	260
c3_b8bc536a		老实说我还有点累，要不先睡一下？	game/scripts/chapter3.rpy	261
c3_24d0c27f		好主意….反正袁艳也活过来了，也没有那么担心了。	game/scripts/chapter3.rpy	262
c3_f07f3403		心里放轻松的时候，整个猫都变得慵懒了起来。	game/scripts/chapter3.rpy	263
c3_b010f1b9		………	game/scripts/chapter3.rpy	264
c3_9ca46914		然后就是一阵奇怪的凉风吹了过来。	game/scripts/chapter3.rpy	265
c3_8a262945	w	喵？	game/scripts/chapter3.rpy	266
c3_d3b151b3		我疑惑的抬了抬头看着周围。	game/scripts/chapter3.rpy	267
c3_ab838de7		那三个女孩百无聊赖的在那里有一句没一句的搭着话。	game/scripts/chapter3.rpy	268
c3_76667183		时不时还回过头来看看袁艳。	game/scripts/chapter3.rpy	269
c3_73b164c2		场景没有什么奇怪的才对….但是我就是觉得哪里违和。	game/scripts/chapter3.rpy	270
c3_422c8a3b		我有种奇怪的感觉…这附近还有什么多余的存在。	game/scripts/chapter3.rpy	271
c3_0dcf1e49		不会是我暴露了吧。	game/scripts/chapter3.rpy	272
c3_3b86dfca		我咽了口唾沫，不是吧….我没有跟人类说话啊。	game/scripts/chapter3.rpy	273
c3_e3e67c90		惊疑的我不停的朝着周围张望。	game/scripts/chapter3.rpy	274
c3_a2b409cb_1	x	嗯？	game/scripts/chapter3.rpy	279
c3_ec18e6bb		夏静似乎也感觉到了什么东西，朝着房间的某一处看了过去。	game/scripts/chapter3.rpy	280
c3_5718cea7		那种眼神就像是看到了什么不该看到的东西一样。	game/scripts/chapter3.rpy	281
c3_6b723174	x	今天…怎么只有一个。	game/scripts/chapter3.rpy	283
c3_cb759234		她似乎很疑惑。	game/scripts/chapter3.rpy	284
c3_5836b429		听她这么说我反而更加疑惑了。	game/scripts/chapter3.rpy	285
c3_badaafc7	w	…..	game/scripts/chapter3.rpy	286
c3_75dee6b8	l	你在看什么鬼？	game/scripts/chapter3.rpy	288
c3_4b859930	x	像你这样的女人是看不到的，因为脑子太空了。	game/scripts/chapter3.rpy	290
c3_dda261a4	l	哦呵？你是想打架吗？	game/scripts/chapter3.rpy	292
c3_4d9448b9	x	抱歉，没空。	game/scripts/chapter3.rpy	294
c3_c80b2ac7		夏静耸了耸肩，但是眼睛并没有看着林琴。	game/scripts/chapter3.rpy	295
c3_8d27f6eb	l	你到底在看什么？	game/scripts/chapter3.rpy	297
c3_e80470de	x	我也不太清楚，只是能看到而已。	game/scripts/chapter3.rpy	299
c3_e4823c57	l	看到什么？	game/scripts/chapter3.rpy	301
c3_50ae8253	x	这个房子里头有鬼。	game/scripts/chapter3.rpy	303
c3_66ec2551	l	啥？	game/scripts/chapter3.rpy	305
c3_a3374dd5_1	c	欸？	game/scripts/chapter3.rpy	307
c3_af2d5b4d		林琴听到后一脸懵，反倒是程祎琳突然一惊，好像听到了什么不得了的事情一样。	game/scripts/chapter3.rpy	308
c3_b196ba11		毛都竖了起来。	game/scripts/chapter3.rpy	309
c3_0f0179d1		反应这么大干什么？	game/scripts/chapter3.rpy	310
c3_351b4c64	c	夏…小静，你刚刚…刚刚说什么？	game/scripts/chapter3.rpy	312
c3_bd1b161b	x	我说这个房间有鬼。	game/scripts/chapter3.rpy	314
c3_3b289212	c	嘶…..额….	game/scripts/chapter3.rpy	316
c3_d5330cf7		程祎琳像是听呆了一样。	game/scripts/chapter3.rpy	317
c3_fa0c5c65	l	我说你没毛病吧，大白天的。	game/scripts/chapter3.rpy	320
c3_c643b910	x	…….	game/scripts/chapter3.rpy	322
c3_4be8c520	x	所以我才说你这样脑袋空空的女人无知。	game/scripts/chapter3.rpy	324
c3_3456ef93	l	哦呵…看来你是真的想跟我打一架呢。	game/scripts/chapter3.rpy	326
c3_5d78b5d9	x	啊呀呀呀…看来这位大小姐是真的不知道天高地厚呢。	game/scripts/chapter3.rpy	328
c3_725a8905	x	跟我打架真的没关系吗？我跆拳道已经黑带毕业了噢。	game/scripts/chapter3.rpy	330
c3_bf2e6293	l	哦呵呵呵…真不知道是谁目中无人呢，你在上届散打冠军面前是不是太放肆了点？	game/scripts/chapter3.rpy	332
c3_2539587e	c	欸…原来这里有鬼的吗？	game/scripts/chapter3.rpy	334
c3_c84359ae_2	w	……	game/scripts/chapter3.rpy	335
